Date,Open,High,Low,Close,Adj Close,Volume
1/15/2021,213.52,214.51,212.03,212.65,210.88,31746500.00
1/19/2021,213.75,216.98,212.63,216.44,214.64,30480900.00
1/20/2021,217.70,225.79,217.29,224.34,222.48,37777300.00
1/21/2021,224.70,226.30,222.42,224.97,223.10,30709400.00
1/22/2021,227.08,230.07,225.80,225.95,224.07,30172700.00
1/25/2021,229.12,229.78,224.22,229.53,227.62,33152100.00
1/26/2021,231.86,234.18,230.08,232.33,230.40,49169600.00
1/27/2021,238.00,240.44,230.14,232.90,230.96,69870600.00
1/28/2021,235.61,242.64,235.09,238.93,236.94,49111200.00
1/29/2021,235.99,238.02,231.35,231.96,230.03,42503100.00
2/1/2021,235.06,242.50,232.43,239.65,237.66,33314200.00
2/2/2021,241.30,242.31,238.69,239.51,237.52,25916300.00
2/3/2021,239.57,245.09,239.26,243.00,240.98,27158100.00
2/4/2021,242.66,243.24,240.37,242.01,240.00,25296100.00
2/5/2021,242.23,243.28,240.42,242.20,240.19,18054800.00
2/8/2021,243.15,243.68,240.81,242.47,240.45,22211900.00
2/9/2021,241.87,244.76,241.38,243.77,241.74,23565000.00
2/10/2021,245.00,245.92,240.89,242.82,240.80,22186700.00
2/11/2021,244.78,245.15,242.15,244.49,242.46,15751100.00
2/12/2021,243.93,245.30,242.73,244.99,242.95,16561100.00
2/16/2021,245.03,246.13,242.92,243.70,241.67,26728500.00
2/17/2021,241.32,244.31,240.94,244.20,242.73,21653500.00
2/18/2021,241.80,243.93,240.86,243.79,242.32,16925600.00
2/19/2021,243.75,243.86,240.18,240.97,239.52,25262600.00
2/22/2021,237.42,237.93,232.40,234.51,233.10,36446900.00
2/23/2021,230.33,234.83,228.73,233.27,231.86,30228700.00
2/24/2021,230.01,235.20,229.00,234.55,233.14,26339700.00
2/25/2021,232.08,234.59,227.88,228.99,227.61,39542200.00
2/26/2021,231.53,235.37,229.54,232.38,230.98,37819200.00
3/1/2021,235.90,237.47,233.15,236.94,235.51,25324000.00
3/2/2021,237.01,237.30,233.45,233.87,232.46,22812500.00
3/3/2021,232.16,233.58,227.26,227.56,226.19,34029500.00
3/4/2021,226.74,232.49,224.26,226.73,225.36,44727800.00
3/5/2021,229.52,233.27,226.46,231.60,230.20,41872800.00
3/8/2021,231.37,233.37,227.13,227.39,226.02,35267400.00
3/9/2021,232.88,235.38,231.67,233.78,232.37,33080500.00
3/10/2021,237.00,237.00,232.04,232.42,231.02,29746800.00
3/11/2021,234.96,239.17,234.31,237.13,235.70,29907600.00
3/12/2021,234.01,235.82,233.23,235.75,234.33,22653700.00
3/15/2021,234.96,235.19,231.81,234.81,233.39,26034900.00
3/16/2021,236.28,240.06,235.94,237.71,236.28,28092200.00
3/17/2021,236.15,238.55,233.23,237.04,235.61,29562100.00
3/18/2021,232.56,234.19,230.33,230.72,229.33,34833000.00
3/19/2021,231.02,232.47,229.35,230.35,228.96,46430700.00
3/22/2021,230.27,236.90,230.14,235.99,234.57,30127000.00
3/23/2021,237.49,241.05,237.07,237.58,236.15,31638400.00
3/24/2021,237.85,238.00,235.32,235.46,234.04,25620100.00
3/25/2021,235.30,236.94,231.57,232.34,230.94,34061900.00
3/26/2021,231.55,236.71,231.55,236.48,235.05,25479900.00
3/29/2021,236.59,236.80,231.88,235.24,233.82,25227500.00
3/30/2021,233.53,233.85,231.10,231.85,230.45,24792000.00
3/31/2021,232.91,239.10,232.39,235.77,234.35,43623500.00
4/1/2021,238.47,242.84,238.05,242.35,240.89,30338000.00
4/5/2021,242.76,249.96,242.70,249.07,247.57,36910600.00
4/6/2021,247.61,249.40,246.88,247.86,246.37,22931900.00
4/7/2021,247.81,250.93,247.19,249.90,248.39,22719800.00
4/8/2021,252.77,254.14,252.00,253.25,251.72,23625200.00
4/9/2021,252.87,255.99,252.44,255.85,254.31,24326800.00
4/12/2021,254.71,257.67,254.62,255.91,254.37,27148700.00
4/13/2021,257.26,259.19,256.83,258.49,256.93,23837500.00
4/14/2021,257.48,258.83,255.16,255.59,254.05,23070900.00
4/15/2021,257.93,259.93,257.73,259.50,257.94,25627500.00
4/16/2021,259.47,261.00,257.60,260.74,259.17,24878600.00
4/19/2021,260.19,261.48,257.82,258.74,257.18,23209300.00
4/20/2021,257.82,260.20,256.84,258.26,256.70,19722900.00
4/21/2021,258.94,260.68,257.25,260.58,259.01,24030400.00
4/22/2021,260.21,261.78,255.64,257.17,255.62,25606200.00
4/23/2021,257.88,261.51,257.27,261.15,259.58,21462600.00
4/26/2021,261.66,262.44,260.17,261.55,259.97,19763300.00
